date,MVRV,txs_count,daily_active_adds,mean_hash_rate,gwei,30_volat,google_trends,net_outflow,closing_price
2020-03-20,-0.0430,-0.0484,0.0691,-0.0075,-0.1071,-0.0034,0.0000,-3.0825,-0.0424
2020-03-21,0.0071,0.0430,0.0796,0.0189,-0.2412,0.0008,0.0000,-1.2169,0.0074
2020-03-22,-0.0717,-0.1298,-0.2944,-0.0527,0.0425,0.0004,-0.2000,-3.2355,-0.0760
2020-03-23,0.1048,0.0738,0.1242,0.0239,0.1177,0.0172,-0.2000,-3.2223,0.1074
2020-03-24,0.0326,-0.0117,-0.0899,0.0173,-0.0538,-0.0028,-0.2000,2.1898,0.0282
2020-03-25,-0.0217,-0.0335,-0.0189,-0.0142,0.0051,-0.0003,-0.2000,-1.4890,-0.0238
2020-03-26,0.0154,0.0095,0.0814,0.0282,-0.0534,-0.0002,-0.2000,-1.2218,0.0185
2020-03-27,-0.0332,-0.0309,-0.0428,0.0046,-0.0365,-0.0062,-0.2000,-4.8043,-0.0355
2020-03-28,-0.0174,-0.1082,-0.0443,-0.0028,-0.0903,-0.0005,-0.2000,-1.1095,-0.0199
2020-03-29,-0.0421,-0.0895,-0.1548,0.0218,-0.0345,-0.0002,-0.2500,-0.1241,-0.0446
2020-03-30,0.0594,0.1908,0.0819,-0.0086,0.0784,0.0062,-0.2500,-3.5667,0.0617
